time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,0.0456,-0.0293,-0.0841,0.1
0.02,0.0159,-0.0324,0.02,0.041
0.04,-0.0168,-0.0089,0.0575,0.061
0.06,-0.0139,-0.012,0.0356,0.04
0.08,-0.0392,0.0074,-0.0444,0.06
0.1,-0.0117,-0.0016,-0.0964,0.097
0.12,0.0114,0.0342,-0.1215,0.127
0.14,0.0159,0.0196,-0.0913,0.095
0.16,0.0269,0.0157,-0.0816,0.087
0.18,0.0424,0.016,-0.0595,0.075
0.2,0.0213,-0.0121,-0.0569,0.062
0.22,0.0289,0.0206,-0.0623,0.072
0.24,0.0011,-0.0032,-0.035,0.035
0.26,0.0078,-0.0276,-0.0652,0.071
0.28,0.0108,-0.0219,-0.0397,0.047
0.3,0.0033,-0.0008,-0.0382,0.038
0.32,-0.0086,-0.0117,-0.0756,0.077
0.34,0.035,0.0125,-0.0269,0.046
0.36,0.0204,-0.0014,-0.0348,0.04
0.38,0.006,-0.0003,-0.0168,0.018
0.4,-0.0034,0.0043,-0.0108,0.012
0.42,-0.0134,-0.0439,-0.0197,0.05
0.44,-0.0322,0.0053,-0.043,0.054
0.46,-0.011,0.0283,-0.0607,0.068
0.48,0.0357,0.0245,-0.151,0.157
0.5,0.0388,0.0435,-0.1638,0.174
0.52,0.0705,0.0309,-0.1191,0.142
0.54,0.0512,0.007,-0.0407,0.066
0.56,0.0092,-0.0268,-0.007,0.029
0.58,-0.0297,-0.0345,0.013,0.047
0.6,-0.035,-0.0698,0.0018,0.078
0.62,0.0054,-0.035,-0.0592,0.069
0.64,-0.0006,-0.0162,-0.0755,0.077
0.66,0.0348,-0.0072,-0.0916,0.098
0.68,0.0878,0.0031,-0.0698,0.112
0.7,0.1094,0.0227,-0.0749,0.135
0.72,0.0521,0.029,-0.0535,0.08
0.74,0.0023,0.038,0.0456,0.059
0.76,-0.0382,0.0229,0.0514,0.068
0.78,-0.0151,0.0374,0.0113,0.042
0.8,0.0064,0.0368,-0.0815,0.09
0.82,-0.0027,0.0321,-0.146,0.15
0.84,0.0069,0.0143,-0.1221,0.123
0.86,0.018,-0.0057,-0.0424,0.046
0.88,0.0702,-0.0399,-0.0757,0.111
0.9,0.0754,-0.0246,-0.0628,0.101
0.92,0.0086,0.0012,-0.0132,0.016
0.94,-0.0059,-0.0323,0.0409,0.052
0.96,-0.0157,-0.0421,-0.0249,0.051
0.98,0.034,-0.0247,-0.0708,0.082
1.0,0.0343,-0.0003,-0.111,0.116
1.02,-0.004,-0.0095,-0.0763,0.077
1.04,-0.0006,0.0085,-0.0283,0.03
1.06,-0.0228,0.0287,0.0014,0.037
1.08,-0.0039,0.0286,-0.0242,0.038
1.1,0.0095,0.0125,-0.0102,0.019
1.12,0.0057,0.0219,-0.0056,0.023
1.14,0.0312,0.0395,0.0234,0.056
1.16,0.0234,0.0161,0.0011,0.028
