time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,-0.0487,-0.2305,-0.0252,0.237
0.02,-0.1732,-0.1659,-0.0544,0.246
0.04,-0.2573,0.0315,-0.1774,0.314
0.06,-0.2354,0.1345,-0.1018,0.29
0.08,-0.1927,0.1531,0.0723,0.257
0.1,-0.0586,0.0111,0.2231,0.231
0.12,0.0317,-0.0314,0.0448,0.063
0.14,-0.0167,0.005,-0.1229,0.124
0.16,-0.0282,0.0547,-0.0522,0.081
0.18,-0.0836,0.041,-0.0271,0.097
0.2,-0.1603,-0.0195,0.0876,0.184
0.22,-0.2495,-0.0323,0.0387,0.255
0.24,-0.207,-0.0071,0.058,0.215
0.26,-0.0489,0.0185,-0.0951,0.108
0.28,-0.0373,0.0054,-0.1826,0.186
0.3,-0.0681,0.0045,-0.0524,0.086
0.32,-0.0762,0.0072,-0.0244,0.08
0.34,-0.0982,0.0441,-0.0956,0.144
0.36,-0.1318,0.0639,-0.113,0.185
0.38,-0.1408,0.015,-0.0881,0.167
0.4,-0.124,-0.0392,0.034,0.134
0.42,-0.1282,-0.0516,0.1227,0.185
0.44,-0.1115,-0.0526,-0.0208,0.125
0.46,-0.0818,-0.0242,-0.1043,0.135
0.48,-0.0509,-0.0321,-0.0103,0.061
0.5,-0.0374,-0.0106,0.0278,0.048
0.52,-0.0586,0.1482,0.1173,0.198
0.54,-0.0366,0.1553,0.1324,0.207
0.56,-0.1542,0.0169,-0.042,0.161
0.58,-0.1522,-0.0257,-0.0947,0.181
0.6,-0.2461,-0.0797,-0.1245,0.287
0.62,-0.2264,-0.0284,-0.0375,0.231
0.64,-0.1709,0.071,0.0188,0.186
0.66,-0.2418,0.0961,0.1016,0.279
0.68,-0.2198,0.0429,-0.0232,0.225
0.7,0.0158,-0.0537,-0.1285,0.14
0.72,0.0427,-0.1496,-0.2979,0.336
0.74,-0.0952,-0.1283,-0.1707,0.234
0.76,-0.0918,-0.0184,0.0663,0.115
0.78,-0.0296,0.112,0.089,0.146
0.8,-0.1091,0.1473,-0.0593,0.193
0.82,-0.2609,0.1141,-0.1614,0.327
0.84,-0.1806,-0.0068,-0.0731,0.195
0.86,0.013,-0.0601,0.0648,0.089
0.88,0.0332,-0.0381,0.0684,0.085
0.9,-0.1419,-0.007,-0.0309,0.145
0.92,-0.2438,0.0234,-0.0691,0.255
0.94,-0.1652,0.0436,0.0142,0.171
0.96,-0.0588,-0.001,0.0057,0.059
0.98,-0.0178,-0.0777,0.0071,0.08
1.0,-0.0626,-0.0792,-0.0311,0.106
1.02,-0.1743,-0.002,0.0161,0.175
1.04,-0.2515,0.0739,0.0096,0.262
1.06,-0.1446,0.1883,-0.0545,0.244
1.08,-0.1098,0.1175,-0.1352,0.21
1.1,-0.083,0.0658,-0.1913,0.219
1.12,-0.13,-0.0027,-0.2044,0.242
1.14,-0.1373,-0.0374,-0.0962,0.172
1.16,-0.1434,-0.0471,-0.0519,0.16
1.18,-0.0224,0.0072,0.0223,0.032
1.2,-0.0832,0.0418,0.0292,0.098
1.22,-0.1551,0.0028,0.0036,0.155
1.24,-0.1867,0.0363,-0.0006,0.19
1.26,-0.0434,0.0364,-0.0812,0.099
1.28,0.1589,-0.0651,-0.2999,0.346
1.3,0.0143,-0.1958,-0.0936,0.217
1.32,-0.159,-0.3205,0.2606,0.443
1.34,-0.2221,-0.2394,0.4005,0.517
1.36,-0.2605,-0.0441,0.3277,0.421
1.38,-0.1507,0.1388,0.0409,0.209
1.4,-0.0489,0.2592,-0.2568,0.368
1.42,-0.0617,0.2922,-0.3456,0.457
1.44,-0.0782,0.1313,-0.2176,0.266
1.46,-0.0949,-0.0465,-0.0877,0.137
1.48,-0.1431,-0.114,-0.0152,0.184
1.5,-0.2193,-0.1053,0.0412,0.247
1.52,-0.2503,-0.011,0.079,0.263
1.54,-0.2491,0.0369,0.1209,0.279
1.56,-0.2291,0.0577,-0.0019,0.236
1.58,-0.1593,0.0481,-0.212,0.269
1.6,-0.0528,0.0259,-0.3802,0.385
1.62,-0.0174,0.0706,-0.1635,0.179
1.64,-0.0602,0.1275,0.073,0.159
1.66,-0.2479,0.0891,0.1417,0.299
1.68,-0.2218,-0.0245,-0.0116,0.223
1.7,-0.0352,-0.0725,0.011,0.081
1.72,0.0274,-0.1874,0.0482,0.195
1.74,0.0628,-0.1813,0.2033,0.28
1.76,-0.0616,-0.0711,0.2417,0.259
1.78,-0.3728,-0.0153,0.0608,0.378
1.8,-0.3962,0.0969,0.0029,0.408
1.82,-0.2038,0.1567,-0.0309,0.259
1.84,-0.0696,0.1671,-0.1005,0.207
1.86,0.0408,0.0512,-0.1886,0.2
1.88,-0.007,-0.0997,-0.1956,0.22
1.9,-0.0178,-0.121,-0.0659,0.139
1.92,-0.0443,-0.1444,-0.0266,0.153
1.94,-0.0765,-0.1216,0.0004,0.144
1.96,-0.1107,-0.0546,0.0356,0.128
1.98,-0.2272,0.0264,0.0982,0.249
2.0,-0.2372,0.124,0.0033,0.268
2.02,-0.1028,0.1667,-0.1333,0.237
2.04,-0.0669,0.1146,-0.1401,0.193
2.06,-0.1307,0.046,-0.1112,0.178
2.08,-0.1473,-0.079,0.0112,0.168
2.1,-0.1108,-0.1074,0.0949,0.181
2.12,-0.0379,-0.0346,0.0774,0.093
2.14,-0.0954,-0.0227,-0.0118,0.099
2.16,-0.1236,0.0411,-0.0508,0.14
2.18,-0.0868,0.0862,-0.1304,0.179
2.2,-0.1082,0.0716,-0.1667,0.211
2.22,-0.0794,0.0767,-0.0365,0.116
2.24,0.0388,-0.0192,-0.0045,0.044
2.26,0.0161,-0.1085,0.0126,0.11
2.28,-0.2464,-0.1334,0.0378,0.283
2.3,-0.3795,-0.0206,0.0717,0.387
2.32,-0.3243,0.0429,0.0699,0.334
2.34,-0.1954,0.0405,-0.0551,0.207
2.36,-0.0724,-0.0202,-0.143,0.162
2.38,-0.0557,-0.0598,-0.1722,0.191
2.4,-0.1224,-0.0219,-0.0854,0.151
2.42,-0.0566,0.0716,0.0168,0.093
2.44,0.0368,0.1656,-0.0464,0.176
2.46,0.0544,0.1576,-0.1045,0.197
