time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.0,0.1762,0.6352,-0.4387,0.792
0.02,-0.1402,0.1224,-0.5638,0.594
0.04,-0.2027,-0.0758,-0.6178,0.655
0.06,0.0204,-0.3081,-0.2195,0.379
0.08,0.1517,-0.5639,0.0811,0.59
0.1,-0.0073,-0.8087,0.4467,0.924
0.12,-0.4068,-0.7667,0.4638,0.984
0.14,-0.942,-0.1911,0.4025,1.042
0.16,-1.2106,0.4138,0.7871,1.502
0.18,-1.2376,0.6018,0.7566,1.57
0.2,-0.8751,0.5967,0.5187,1.179
0.22,-0.3317,0.8136,0.6195,1.075
0.24,-0.6357,0.8704,1.3131,1.699
0.26,-0.6204,0.2141,1.0689,1.254
0.28,-0.415,-0.4152,0.5773,0.823
0.3,-0.546,-0.4038,0.4091,0.793
0.32,-0.8738,-0.018,0.2581,0.911
0.34,-1.1225,0.5598,0.3901,1.314
0.36,-1.0404,0.9322,0.5447,1.499
0.38,-0.6309,0.8042,0.4053,1.1
0.4,-0.1354,0.4911,0.1254,0.525
0.42,-0.0344,0.5225,-0.1216,0.538
0.44,-0.3202,0.6923,0.1428,0.776
0.46,-0.2949,0.522,0.1862,0.628
0.48,-0.5747,0.1353,0.5257,0.791
0.5,-0.7098,-0.4116,0.676,1.063
0.52,-0.5496,-0.9495,0.3355,1.147
0.54,-0.3816,-0.5674,0.2995,0.746
0.56,-0.1664,0.3473,0.3597,0.527
0.58,-0.2597,0.8266,0.1247,0.875
0.6,-0.1459,0.4941,0.0691,0.52
0.62,0.2297,-0.3706,0.1383,0.457
0.64,0.568,-0.8072,0.1563,0.999
0.66,0.4587,-0.3435,0.4151,0.708
0.68,0.1989,0.283,0.5848,0.679
0.7,-0.0009,0.3537,0.5117,0.622
0.72,-0.1141,0.1922,0.6779,0.714
0.74,-0.0035,0.1437,0.4883,0.509
0.76,0.3005,-0.0123,0.2409,0.385
0.78,0.5848,-0.0155,0.3068,0.661
0.8,0.4943,0.1154,0.2497,0.566
