time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004699,-0.1399,0.0890,-0.0516,0.174
0.005736,-0.1302,0.0657,0.0468,0.153
0.006800,-0.1444,0.0151,0.1378,0.200
0.007571,-0.1612,-0.0100,0.1392,0.213
0.013263,-0.1659,-0.0290,0.0925,0.192
0.022502,-0.1875,-0.0127,0.0300,0.190
0.023154,-0.1994,-0.0098,-0.0450,0.205
0.025518,-0.1827,-0.0045,-0.0890,0.203
0.035035,-0.1468,0.0247,-0.1391,0.204
0.035657,-0.1109,0.0469,-0.1838,0.220
0.040528,-0.1180,0.0767,-0.1785,0.227
0.046135,-0.1059,0.0964,-0.1349,0.197
0.052514,-0.0914,0.1477,-0.1135,0.207
0.055659,-0.0839,0.1488,-0.1051,0.201
0.060855,-0.0836,0.1259,-0.0699,0.166
0.065953,-0.0761,0.1167,-0.0459,0.147
0.071083,-0.0686,0.0824,-0.0628,0.124
0.075329,-0.0588,0.0825,-0.0545,0.115
0.082542,-0.0491,0.0227,-0.0590,0.080
0.085250,-0.0706,0.0047,-0.0507,0.087
0.090489,-0.0538,0.0194,-0.0567,0.081
0.095412,-0.0538,-0.0147,-0.0497,0.075
0.100374,-0.0897,-0.0696,-0.0422,0.121
0.105206,-0.0899,-0.0842,-0.0151,0.124
0.110263,-0.0853,-0.0976,0.0013,0.130
0.115472,-0.1526,-0.1003,0.0176,0.183
0.120177,-0.1624,-0.1006,-0.0022,0.191
0.125404,-0.1602,-0.0721,-0.0167,0.176
0.131397,-0.1843,-0.0627,0.0190,0.196
0.135013,-0.1964,-0.0349,0.0091,0.200
0.140063,-0.1821,-0.0118,-0.0668,0.194
0.148049,-0.1822,-0.0051,-0.0620,0.193
0.150258,-0.1822,0.0394,-0.0725,0.200
0.155285,-0.1726,0.0466,-0.0968,0.203
0.160470,-0.1510,0.0316,-0.1003,0.184
0.167941,-0.1367,0.0348,-0.0844,0.164
0.170581,-0.1295,0.0377,-0.0892,0.162
0.175130,-0.1246,-0.0006,-0.1012,0.161
0.181428,-0.1055,0.0050,-0.0696,0.126
0.185226,-0.1007,-0.0308,-0.0341,0.111
0.190956,-0.1295,-0.0279,-0.0020,0.133
0.195728,-0.1415,-0.0352,0.0127,0.146
0.208818,-0.0985,-0.0420,0.0692,0.127
0.210165,-0.0961,-0.0624,0.0928,0.147
0.211438,-0.0962,-0.0454,0.0861,0.137
0.214984,-0.1297,-0.0802,0.1025,0.184
0.219738,-0.1130,-0.0999,0.0562,0.161
0.224888,-0.1107,-0.0868,0.0429,0.147
0.230366,-0.1276,-0.1084,0.0313,0.170
0.234550,-0.1349,-0.0707,0.0020,0.152
