time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003016,-0.2357,0.1965,-0.2141,0.374
0.003650,-0.1849,0.1717,-0.1017,0.272
0.007198,-0.1047,0.0796,-0.0254,0.134
0.012868,-0.0267,0.0337,0.0365,0.056
0.017280,0.0353,0.0231,0.0898,0.099
0.024881,0.0962,0.1211,0.1349,0.205
0.027301,0.1311,0.1748,0.1554,0.268
0.032214,0.1662,0.2651,0.1752,0.359
0.039343,0.1971,0.3003,0.1489,0.389
0.042168,0.2024,0.2875,0.1431,0.380
0.047171,0.1383,0.3976,0.1476,0.446
0.052237,0.0689,0.4237,0.1363,0.450
0.057652,0.0124,0.4807,0.1639,0.508
0.062749,-0.0334,0.5233,0.1535,0.546
0.068110,-0.0970,0.5647,0.1342,0.588
0.076173,-0.1447,0.5591,0.1088,0.588
0.078149,-0.1416,0.5135,0.0745,0.538
0.082804,-0.1074,0.4748,0.0741,0.492
0.089366,-0.0692,0.4406,0.0991,0.457
0.092447,-0.0968,0.3792,0.1069,0.406
0.097371,-0.0391,0.2584,0.1119,0.284
0.102572,0.0161,0.1704,0.0534,0.179
0.107337,0.0440,0.1074,0.0017,0.116
0.112318,0.0379,0.0742,-0.0245,0.087
0.117331,-0.0115,0.0485,0.0304,0.058
0.123627,0.0220,0.0430,0.0573,0.075
0.127944,0.0501,0.0146,0.1129,0.124
0.132158,0.0170,-0.0257,0.1378,0.141
0.137885,0.0047,-0.0340,0.1735,0.177
0.142357,0.0156,-0.0106,0.2111,0.212
0.148148,0.0145,-0.0201,0.2073,0.209
0.154950,-0.0108,-0.0309,0.2306,0.233
0.156977,-0.0005,0.0308,0.2379,0.240
0.162156,0.0202,0.0711,0.2104,0.223
0.167222,0.0391,0.0564,0.1794,0.192
0.174273,0.0579,0.0650,0.1835,0.203
0.177808,0.1053,0.1045,0.2146,0.261
0.182508,0.0878,0.1271,0.2180,0.267
0.188081,0.0300,0.1408,0.1872,0.236
0.192102,0.0112,0.1863,0.2118,0.282
0.196924,-0.0048,0.1688,0.2556,0.306
0.202131,-0.0075,0.1367,0.3006,0.330
0.206943,-0.0116,0.0438,0.3635,0.366
0.211914,-0.0110,-0.0096,0.4315,0.432
0.216990,-0.0001,-0.0700,0.5262,0.531
0.222015,0.0352,-0.1035,0.5909,0.601
0.228006,0.0717,-0.1332,0.5591,0.579
0.231842,0.1682,-0.2094,0.4655,0.537
0.237597,0.3028,-0.2656,0.3402,0.527
0.241707,0.3972,-0.3249,0.2159,0.557
0.246665,0.4368,-0.3473,0.1106,0.569
0.253583,0.4485,-0.3078,0.0794,0.550
0.256681,0.4397,-0.2863,0.1308,0.541
0.261969,0.4620,-0.3417,0.1559,0.595
0.267181,0.4451,-0.3741,0.1378,0.598
0.274365,0.3972,-0.3156,0.1332,0.525
0.276827,0.3697,-0.2298,0.1674,0.466
0.281441,0.3599,-0.1422,0.2152,0.443
0.286302,0.3460,-0.0649,0.2819,0.451
0.291502,0.2964,-0.0164,0.4042,0.501
0.296561,0.2151,0.0005,0.5283,0.570
0.303341,0.1117,0.0715,0.6316,0.645
0.306792,-0.0487,0.1151,0.6734,0.685
0.311600,-0.2511,0.1406,0.6405,0.702
0.317024,-0.3991,0.1949,0.5376,0.697
0.321655,-0.5254,0.2694,0.4224,0.726
0.326459,-0.6010,0.2409,0.3774,0.749
0.331830,-0.6426,0.1716,0.2908,0.726
0.337132,-0.6266,0.0584,0.2586,0.680
0.341287,-0.6191,-0.0538,0.2471,0.669
0.346776,-0.6657,-0.0771,0.2061,0.701
0.356043,-0.6856,-0.0442,0.1813,0.711
0.356920,-0.6640,-0.0195,0.2926,0.726
0.361008,-0.5643,0.0052,0.3836,0.682
0.366016,-0.5757,0.1174,0.4294,0.728
0.371603,-0.6986,0.2101,0.4635,0.864
0.376191,-0.7293,0.2481,0.4830,0.909
0.381026,-0.7070,0.2617,0.5171,0.914
0.386566,-0.6565,0.2926,0.5330,0.895
0.391367,-0.5677,0.2176,0.6238,0.871
0.396104,-0.2420,-0.4016,0.6449,0.797
0.401606,-0.3029,-0.2223,0.4348,0.575
0.405846,-0.4683,0.0190,0.3375,0.578
0.411176,-0.7027,0.1056,0.3769,0.804
0.416254,-0.8038,0.1144,0.4146,0.912
0.421681,-0.7851,0.0711,0.4595,0.912
0.425954,-0.7557,0.0016,0.4749,0.893
0.430839,-0.7539,-0.0919,0.4876,0.903
0.436255,-0.6722,-0.1409,0.4600,0.827
0.440951,-0.7059,-0.1508,0.4382,0.844
0.445849,-0.7056,-0.1771,0.4660,0.864
0.451315,-0.7465,-0.2656,0.5844,0.985
0.455751,-0.7320,-0.3371,0.4207,0.909
0.460650,-0.7401,-0.4542,0.2304,0.898
0.465600,-0.8092,-0.4790,0.1534,0.953
0.470746,-0.7853,-0.5353,0.0741,0.953
0.475594,-0.7379,-0.6359,-0.0131,0.974
