time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004598,-0.2645,0.1777,0.0225,0.319
0.005522,-0.2696,0.1749,0.0053,0.321
0.006075,-0.2819,0.1643,-0.0189,0.327
0.006626,-0.2728,0.1827,-0.0356,0.330
0.011507,-0.2707,0.1774,-0.0501,0.328
0.017679,-0.2566,0.1144,-0.1394,0.314
0.019984,-0.2149,0.0636,-0.1795,0.287
0.025211,-0.2022,0.0430,-0.1118,0.235
0.031979,-0.1546,0.0042,-0.0985,0.183
0.034796,-0.1356,-0.0128,-0.0764,0.156
0.040144,-0.1043,-0.0166,-0.0627,0.123
0.046949,-0.0824,-0.0152,-0.0735,0.112
0.049938,-0.0513,-0.0446,-0.0493,0.084
0.054931,-0.0125,-0.0522,-0.0486,0.072
0.059871,0.0262,-0.0567,0.0080,0.063
0.065267,0.0393,-0.0800,0.0634,0.109
0.069777,0.0123,-0.0823,0.0865,0.120
0.074785,-0.0359,-0.0532,0.0987,0.118
0.082595,-0.0671,-0.0745,0.1025,0.143
0.084745,-0.0743,-0.0293,0.0938,0.123
0.089843,-0.0913,-0.0194,0.1026,0.139
0.096499,-0.1416,0.0227,0.1291,0.193
0.099363,-0.1625,0.0489,0.1330,0.216
0.104472,-0.2121,0.0701,0.1189,0.253
0.109653,-0.2210,0.0941,0.1336,0.275
0.114737,-0.2249,0.1011,0.1634,0.296
0.119748,-0.2236,0.1043,0.1839,0.308
0.124451,-0.2698,0.1041,0.1455,0.324
0.130641,-0.2688,0.1081,0.1173,0.313
0.134311,-0.2517,0.0944,0.1164,0.293
0.139381,-0.2419,0.1175,0.0493,0.273
0.146232,-0.1663,0.1077,-0.0235,0.199
0.149418,-0.1041,0.0181,-0.0477,0.116
0.154540,-0.0473,-0.0607,-0.0371,0.085
0.159307,0.0693,-0.1081,-0.0902,0.157
0.164320,0.1104,-0.1483,-0.0858,0.204
0.169387,0.1132,-0.0669,-0.0562,0.143
0.174338,-0.1042,0.3948,0.1473,0.434
0.181931,-0.3915,0.8573,0.5387,1.086
0.184951,-0.0848,0.3293,0.1180,0.360
